x,y,z
-0.043,-0.536,-0.855
-0.041,-0.522,-0.847
-0.042,-0.504,-0.868
-0.041,-0.495,-0.865
-0.039,-0.475,-0.897
-0.037,-0.463,-0.903
-0.038,-0.444,-0.925
-0.038,-0.431,-0.897
-0.039,-0.428,-0.914
-0.034,-0.401,-0.974
-0.045,-0.411,-0.937
-0.030,-0.366,-0.882
-0.037,-0.375,-0.961
-0.035,-0.360,-0.952
-0.035,-0.352,-0.950
-0.033,-0.342,-0.934
-0.033,-0.334,-0.943
-0.031,-0.328,-0.957
-0.029,-0.321,-0.955
-0.030,-0.313,-0.938
-0.035,-0.311,-0.951
-0.032,-0.298,-0.961
-0.026,-0.280,-0.959
-0.027,-0.269,-0.969
-0.018,-0.244,-0.982
-0.045,-0.279,-1.001
-0.013,-0.216,-0.967
-0.032,-0.231,-0.989
-0.030,-0.212,-1.021
-0.020,-0.202,-0.983
-0.023,-0.129,-1.008
-0.025,-0.118,-1.003
-0.024,-0.107,-0.996
-0.044,-0.085,-1.012
-0.021,-0.091,-0.994
-0.033,-0.089,-1.012
-0.025,-0.075,-1.005
-0.029,-0.084,-1.005
-0.029,-0.084,-1.008
-0.027,-0.080,-1.003
-0.033,-0.092,-1.004
-0.029,-0.086,-1.003
-0.031,-0.090,-1.007
-0.028,-0.087,-1.005
-0.028,-0.093,-1.003
-0.028,-0.096,-1.002
-0.025,-0.098,-1.012
-0.026,-0.122,-1.002
-0.012,-0.124,-1.042
-0.018,-0.169,-1.003
-0.031,-0.195,-0.993
-0.029,-0.224,-1.003
-0.024,-0.237,-0.965
-0.037,-0.297,-0.951
-0.027,-0.318,-0.972
-0.034,-0.356,-0.969
-0.031,-0.382,-0.925
-0.036,-0.421,-0.930
-0.045,-0.461,-0.928
-0.037,-0.494,-0.896
-0.045,-0.534,-0.830
-0.049,-0.621,-0.760
-0.052,-0.651,-0.744
-0.048,-0.678,-0.717
-0.052,-0.720,-0.685
-0.059,-0.745,-0.646
-0.052,-0.766,-0.656
-0.060,-0.790,-0.591
-0.060,-0.815,-0.582
-0.063,-0.844,-0.563
-0.066,-0.852,-0.484
-0.061,-0.875,-0.458
-0.072,-0.885,-0.445
-0.059,-0.910,-0.389
-0.067,-0.907,-0.398
-0.068,-0.932,-0.324
-0.057,-0.925,-0.311
-0.066,-0.952,-0.227
-0.071,-0.964,-0.216
-0.073,-0.983,-0.181
-0.076,-0.975,-0.125
-0.070,-0.984,-0.070
-0.077,-0.984,-0.051
-0.074,-0.990,-0.050
-0.071,-0.981,-0.051
-0.075,-0.992,0.033
-0.073,-0.990,0.049
-0.068,-0.989,-0.009
-0.073,-0.993,0.038
-0.075,-0.990,0.007
-0.075,-0.988,0.050
-0.078,-0.988,0.036
-0.072,-0.992,0.036
-0.072,-0.990,0.021
-0.075,-0.991,0.028
-0.073,-0.990,0.022
-0.075,-0.991,0.036
-0.073,-0.988,0.031
-0.073,-0.992,0.025
-0.074,-0.987,0.033
-0.074,-0.990,0.029
-0.073,-0.991,0.025
-0.073,-0.989,0.031
-0.074,-0.990,0.028
-0.075,-0.990,0.027
-0.073,-0.990,0.035
-0.073,-0.989,0.030
-0.074,-0.994,0.024
-0.073,-0.994,0.024
-0.076,-0.992,0.042
-0.075,-1.001,0.018
-0.079,-0.998,0.035
-0.072,-1.002,0.038
-0.076,-0.967,0.104
-0.071,-1.002,0.066
-0.075,-0.995,0.095
-0.073,-0.980,0.148
-0.075,-0.948,0.228
-0.075,-0.965,0.217
-0.077,-0.961,0.246
-0.074,-0.947,0.283
-0.076,-0.928,0.325
-0.072,-0.908,0.375
-0.074,-0.878,0.447
-0.070,-0.905,0.399
-0.075,-0.904,0.409
-0.072,-0.903,0.407
-0.072,-0.873,0.462
-0.071,-0.859,0.490
-0.048,-0.868,0.469
-0.072,-0.856,0.524
-0.071,-0.840,0.531
-0.070,-0.856,0.496
-0.070,-0.840,0.516
-0.069,-0.819,0.559
-0.066,-0.797,0.586
-0.067,-0.782,0.590
-0.073,-0.773,0.623
-0.067,-0.763,0.626
-0.065,-0.749,0.648
-0.064,-0.732,0.662
-0.064,-0.705,0.693
-0.061,-0.674,0.731
-0.052,-0.650,0.725
-0.064,-0.629,0.769
-0.047,-0.609,0.766
-0.055,-0.565,0.836
-0.076,-0.572,0.809
-0.059,-0.520,0.865
-0.057,-0.525,0.831
-0.049,-0.501,0.841
-0.058,-0.455,0.902
-0.052,-0.409,0.952
-0.056,-0.438,0.880
-0.045,-0.404,0.918
-0.065,-0.420,0.871
